label,lat,lon,zoom
All,29.95,78.963,7.2
"GangaNagri Bahadarabad	",29.929,78.063,17
"IIE Bhimtal	",29.36,79.551,15.2
"IIE Haridwar	",29.958,78.067,13.5
"IIE Kashipur (Escort Farm)	",29.231,79.019,14.3
"IIE Kotdwar	",29.792,78.406,15.5
"IIT Pantnagar	",29.015,79.415,12.8
"IIE Sitarganj	",29.027,79.68,12.5
IT Park,30.357,78.083,14
"Pharmacy Selaqui	",30.3715,77.858,15.8
"SIDC Bajpur 1	",29.1555,79.074,16
"SIDC Bajpur 2	",29.146,79.186,16
"SIDC Balbhadrapur	",29.7418,78.485,16
"SIDC Bhadrabad	",29.93,78.057,15.4
"SIDC Haridwar	",29.9445,78.146,15.4
"SIDC Jashodarpur	",29.773,78.429,15.4
"SIDC Kashipur	",29.176,79.007,14.4
"SIDC Landora	",29.7985,77.945,15.4
"SIDC Mohan	",29.552,79.121,16.2
"SIDC Munikireti	",30.122,78.287,16
"SIDC Peepalsana	",29.289,79.035,16
"SIDC Selaqui	",30.363,77.852,15.2
"SIDC Tatasu Mazadi	",30.236,79.255,15.6
"Textile Park, Jaspur	",29.284,78.805,15.5
